title,source,published,content,sentiment,geo_risk_score,geo_risk_level,energy_risk,investment_recommendation,dataset_type,text,is_geopolitical,is_financial,confidence_score_%
The Latest: US Vice President Vance leaves Pakistan after talks with Iran end without agreement,Chronicle Online,2026-04-12 04:17:56,The Latest: US Vice President Vance leaves Pakistan after talks with Iran end without agreement,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,The Latest: US Vice President Vance leaves Pakistan after talks with Iran end without agreement The Latest: US Vice President Vance leaves Pakistan after talks with Iran end without agreement,True,True,91.7
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Yankton Net,2026-04-12 04:27:43,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Sioux City Journal News,2026-04-12 04:27:43,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Kvue,2026-04-12 04:27:43,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,12news,2026-04-12 04:27:43,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,La Crosse Tribune,2026-04-12 04:27:43,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Mankato Free Press,2026-04-12 04:27:43,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.25
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Khou,2026-04-12 04:27:43,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Lufkindailynews,2026-04-12 04:27:43,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Beloit Daily News,2026-04-12 04:27:43,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Albany Democrat-herald,2026-04-12 04:27:43,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
Does it make sense to invest in gold?,Times Of Malta,2026-04-12 04:30:00,Does it make sense to invest in gold?,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Does it make sense to invest in gold? Does it make sense to invest in gold?,True,True,93.95
Sinn Féin to bring confidence motion against Government; Fuel protests standing down but Rosslare still blockaded; Cabinet to meet today,The Independent,2026-04-12 04:30:00,Sinn Féin to bring confidence motion against Government; Fuel protests standing down but Rosslare still blockaded; Cabinet to meet today,Negative,,High,,Buy Gold & Defence Stocks | Avoid Equities,live-feed,Sinn Féin to bring confidence motion against Government; Fuel protests standing down but Rosslare still blockaded; Cabinet to meet today Sinn Féin to bring confidence motion against Government; Fuel protests standing down but Rosslare still blockaded; Cabinet to meet today,True,True,93.08
DVLA letters arriving demanding new £200 charge,Birmingham Live,2026-04-12 04:30:00,DVLA letters arriving demanding new £200 charge,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,DVLA letters arriving demanding new £200 charge DVLA letters arriving demanding new £200 charge,True,True,91.99
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Beaumont Enterprise,2026-04-12 04:29:30,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Ct Insider,2026-04-12 04:29:30,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Yahoo! News,2026-04-12 04:28:21,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,93.9
S&P 500 Faces 8% EPS Hit From Global Tariffs While Cardano (ADA) Builds Four Enterprise Catalysts,Openpr.com,2026-04-12 04:33:02,S&P 500 Faces 8% EPS Hit From Global Tariffs While Cardano (ADA) Builds Four Enterprise Catalysts,Neutral,,Medium,,Hold Gold | Avoid High-Risk Equities,live-feed,S&P 500 Faces 8% EPS Hit From Global Tariffs While Cardano (ADA) Builds Four Enterprise Catalysts S&P 500 Faces 8% EPS Hit From Global Tariffs While Cardano (ADA) Builds Four Enterprise Catalysts,True,True,90.56
New NC schools data shows success sequence at work,Salisbury Post,2026-04-12 05:00:00,New NC schools data shows success sequence at work,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,New NC schools data shows success sequence at work New NC schools data shows success sequence at work,True,True,92.0
Business Bulletin: Hearthstone wins; Jackie Joyner-Kersee benefits; Capes Sokol celebrates,Stltoday,2026-04-12 05:00:00,Business Bulletin: Hearthstone wins; Jackie Joyner-Kersee benefits; Capes Sokol celebrates,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,Business Bulletin: Hearthstone wins; Jackie Joyner-Kersee benefits; Capes Sokol celebrates Business Bulletin: Hearthstone wins; Jackie Joyner-Kersee benefits; Capes Sokol celebrates,True,True,91.81
"‘As an Irish person speaking Norwegian, you can sound like a very sick dog’",The Irish Times,2026-04-12 05:00:00,"‘As an Irish person speaking Norwegian, you can sound like a very sick dog’",Negative,,Low,,Hold Cash | Defensive Stocks,live-feed,"‘As an Irish person speaking Norwegian, you can sound like a very sick dog’ ‘As an Irish person speaking Norwegian, you can sound like a very sick dog’",True,True,90.53
N.C. Transportation Museum gears up for Tractors and Trains,Salisbury Post,2026-04-12 05:00:00,N.C. Transportation Museum gears up for Tractors and Trains,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,N.C. Transportation Museum gears up for Tractors and Trains N.C. Transportation Museum gears up for Tractors and Trains,True,True,93.98
Where will diners park at downtown food hall?,Santa Fe New Mexican Homepage | Santa Fe New Mexic,2026-04-12 05:00:00,Where will diners park at downtown food hall?,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Where will diners park at downtown food hall? Where will diners park at downtown food hall?,True,True,93.99
"Silver Price Today, April 12, 2026: White metal maintained gains? Check city-wise rates",Et Now,2026-04-12 04:59:21,"Silver Price Today, April 12, 2026: White metal maintained gains? Check city-wise rates",Neutral,,Low,,Market Neutral | Hold Positions,live-feed,"Silver Price Today, April 12, 2026: White metal maintained gains? Check city-wise rates Silver Price Today, April 12, 2026: White metal maintained gains? Check city-wise rates",True,True,93.9
"Fuel Prices Today (April 12, 2026): Petrol, diesel hold steady in Delhi as crude ends turbulent week at monthly lows; peace talks continue",Et Now,2026-04-12 04:48:15,"Fuel Prices Today (April 12, 2026): Petrol, diesel hold steady in Delhi as crude ends turbulent week at monthly lows; peace talks continue",Negative,,Low,,Hold Cash | Defensive Stocks,live-feed,"Fuel Prices Today (April 12, 2026): Petrol, diesel hold steady in Delhi as crude ends turbulent week at monthly lows; peace talks continue Fuel Prices Today (April 12, 2026): Petrol, diesel hold steady in Delhi as crude ends turbulent week at monthly lows; peace talks continue",True,True,90.29
Indore News: Indore Municipal Corporation Fixes Uniform Rates For Cremation Materials,The Free Press Journal,2026-04-12 04:45:58,Indore News: Indore Municipal Corporation Fixes Uniform Rates For Cremation Materials,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Indore News: Indore Municipal Corporation Fixes Uniform Rates For Cremation Materials Indore News: Indore Municipal Corporation Fixes Uniform Rates For Cremation Materials,True,True,93.95
Q&A: Santa Fe County sheriff candidates on workforce and investments,Santa Fe New Mexican Homepage | Santa Fe New Mexic,2026-04-12 04:45:00,Q&A: Santa Fe County sheriff candidates on workforce and investments,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Q&A: Santa Fe County sheriff candidates on workforce and investments Q&A: Santa Fe County sheriff candidates on workforce and investments,True,True,94.2
Santa Fe County sheriff candidates' ideas for recruitment and retention,Santa Fe New Mexican Homepage | Santa Fe New Mexic,2026-04-12 04:45:00,Santa Fe County sheriff candidates' ideas for recruitment and retention,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Santa Fe County sheriff candidates' ideas for recruitment and retention Santa Fe County sheriff candidates' ideas for recruitment and retention,True,True,94.1
"Home Depot CFO Warns Demand Softening, Housing “Frozen” as Big-Ticket Projects Stall at JPM Forum",Americanbankingnews,2026-04-12 06:05:03,"Home Depot CFO Warns Demand Softening, Housing “Frozen” as Big-Ticket Projects Stall at JPM Forum",Neutral,,High,,Buy Gold & Defence Stocks | Avoid Equities,live-feed,"Home Depot CFO Warns Demand Softening, Housing “Frozen” as Big-Ticket Projects Stall at JPM Forum Home Depot CFO Warns Demand Softening, Housing “Frozen” as Big-Ticket Projects Stall at JPM Forum",True,True,93.78
MetalNRG Q4 Earnings Call Highlights,Americanbankingnews,2026-04-12 06:05:03,MetalNRG Q4 Earnings Call Highlights,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,MetalNRG Q4 Earnings Call Highlights MetalNRG Q4 Earnings Call Highlights,True,True,94.12
Neogen Q3 Earnings Call Highlights,Americanbankingnews,2026-04-12 06:05:03,Neogen Q3 Earnings Call Highlights,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Neogen Q3 Earnings Call Highlights Neogen Q3 Earnings Call Highlights,True,True,94.09
BlackBerry Q4 Earnings Call Highlights,Americanbankingnews,2026-04-12 06:05:02,BlackBerry Q4 Earnings Call Highlights,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,BlackBerry Q4 Earnings Call Highlights BlackBerry Q4 Earnings Call Highlights,True,True,94.12
Pure Cycle Q2 Earnings Call Highlights,Americanbankingnews,2026-04-12 06:05:01,Pure Cycle Q2 Earnings Call Highlights,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,Pure Cycle Q2 Earnings Call Highlights Pure Cycle Q2 Earnings Call Highlights,True,True,91.82
Best Construction Stocks To Watch Today – April 10th,Defenseworld Net,2026-04-12 06:04:53,Best Construction Stocks To Watch Today – April 10th,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,Best Construction Stocks To Watch Today – April 10th Best Construction Stocks To Watch Today – April 10th,True,True,92.13
Shipping Stocks To Add to Your Watchlist – April 10th,Defenseworld Net,2026-04-12 06:04:52,Shipping Stocks To Add to Your Watchlist – April 10th,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Shipping Stocks To Add to Your Watchlist – April 10th Shipping Stocks To Add to Your Watchlist – April 10th,True,True,93.86
Real Estate Stocks To Research – April 10th,Defenseworld Net,2026-04-12 06:04:52,Real Estate Stocks To Research – April 10th,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,Real Estate Stocks To Research – April 10th Real Estate Stocks To Research – April 10th,True,True,92.01
CME Group (NASDAQ:CME) Price Target Raised to $340.00,Markets Daily,2026-04-12 06:04:51,CME Group (NASDAQ:CME) Price Target Raised to $340.00,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,CME Group (NASDAQ:CME) Price Target Raised to $340.00 CME Group (NASDAQ:CME) Price Target Raised to $340.00,True,True,94.01
Home Improvement Stocks To Watch Today – April 10th,Defenseworld Net,2026-04-12 06:04:50,Home Improvement Stocks To Watch Today – April 10th,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Home Improvement Stocks To Watch Today – April 10th Home Improvement Stocks To Watch Today – April 10th,True,True,93.76
Here’s the dividend forecast for Lloyds shares as we head into a new 2026 ISA season,Fool Uk,2026-04-12 06:11:00,Here’s the dividend forecast for Lloyds shares as we head into a new 2026 ISA season,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,Here’s the dividend forecast for Lloyds shares as we head into a new 2026 ISA season Here’s the dividend forecast for Lloyds shares as we head into a new 2026 ISA season,True,True,91.94
Value in Volatility: Why smart money hunts ‘gaps’ in uncertain markets,The Economic Times,2026-04-12 06:09:33,Value in Volatility: Why smart money hunts ‘gaps’ in uncertain markets,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,Value in Volatility: Why smart money hunts ‘gaps’ in uncertain markets Value in Volatility: Why smart money hunts ‘gaps’ in uncertain markets,True,True,92.07
What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Abc News,2026-04-12 06:12:34,What to know about Trump's tax breaks for tips and overtime when filing state tax returns,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,What to know about Trump's tax breaks for tips and overtime when filing state tax returns What to know about Trump's tax breaks for tips and overtime when filing state tax returns,True,True,94.22
How to earn a tax-free second income from UK property without purchasing a buy-to-let,Fool Uk,2026-04-12 06:12:00,How to earn a tax-free second income from UK property without purchasing a buy-to-let,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,How to earn a tax-free second income from UK property without purchasing a buy-to-let How to earn a tax-free second income from UK property without purchasing a buy-to-let,True,True,93.96
"World Bank releases USD 340 mn for Amaravati development, additional USD 150 mn likely in Apr",Hindustan Times,2026-04-12 06:15:58,"World Bank releases USD 340 mn for Amaravati development, additional USD 150 mn likely in Apr",Neutral,,Low,,Market Neutral | Hold Positions,live-feed,"World Bank releases USD 340 mn for Amaravati development, additional USD 150 mn likely in Apr World Bank releases USD 340 mn for Amaravati development, additional USD 150 mn likely in Apr",True,True,94.07
Fermi (NASDAQ:FRMI) versus JAN (NYSE:JAN) Critical Survey,Americanbankingnews,2026-04-12 06:15:28,Fermi (NASDAQ:FRMI) versus JAN (NYSE:JAN) Critical Survey,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Fermi (NASDAQ:FRMI) versus JAN (NYSE:JAN) Critical Survey Fermi (NASDAQ:FRMI) versus JAN (NYSE:JAN) Critical Survey,True,True,94.14
FirstSun Capital Bancorp (NASDAQ:FSUN) Receives Average Recommendation of “Moderate Buy” from Analysts,Americanbankingnews,2026-04-12 06:15:23,FirstSun Capital Bancorp (NASDAQ:FSUN) Receives Average Recommendation of “Moderate Buy” from Analysts,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,FirstSun Capital Bancorp (NASDAQ:FSUN) Receives Average Recommendation of “Moderate Buy” from Analysts FirstSun Capital Bancorp (NASDAQ:FSUN) Receives Average Recommendation of “Moderate Buy” from Analysts,True,True,94.05
JAN (NYSE:JAN) versus Fermi (NASDAQ:FRMI) Critical Survey,Defenseworld Net,2026-04-12 06:15:05,JAN (NYSE:JAN) versus Fermi (NASDAQ:FRMI) Critical Survey,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,JAN (NYSE:JAN) versus Fermi (NASDAQ:FRMI) Critical Survey JAN (NYSE:JAN) versus Fermi (NASDAQ:FRMI) Critical Survey,True,True,94.0
FirstSun Capital Bancorp (NASDAQ:FSUN) Receives Consensus Rating of “Moderate Buy” from Brokerages,Defenseworld Net,2026-04-12 06:14:57,FirstSun Capital Bancorp (NASDAQ:FSUN) Receives Consensus Rating of “Moderate Buy” from Brokerages,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,FirstSun Capital Bancorp (NASDAQ:FSUN) Receives Consensus Rating of “Moderate Buy” from Brokerages FirstSun Capital Bancorp (NASDAQ:FSUN) Receives Consensus Rating of “Moderate Buy” from Brokerages,True,True,93.93
World Bank releases US$ 340 mn for Amaravati development,Telangana Today,2026-04-12 06:19:58,World Bank releases US$ 340 mn for Amaravati development,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,World Bank releases US$ 340 mn for Amaravati development World Bank releases US$ 340 mn for Amaravati development,True,True,94.13
Why is quantum computing seen as a challenge to Bitcoin?,Yahoo! News,2026-04-12 06:18:10,Why is quantum computing seen as a challenge to Bitcoin?,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Why is quantum computing seen as a challenge to Bitcoin? Why is quantum computing seen as a challenge to Bitcoin?,True,True,93.79
"BOJ policy to boost yen could be an option to curb inflation, Japanese minister says",The Standard 英文虎報,2026-04-12 06:37:22,"BOJ policy to boost yen could be an option to curb inflation, Japanese minister says",Neutral,,Low,,Market Neutral | Hold Positions,live-feed,"BOJ policy to boost yen could be an option to curb inflation, Japanese minister says BOJ policy to boost yen could be an option to curb inflation, Japanese minister says",True,True,93.94
Bank Stocks To Research – April 9th,Americanbankingnews,2026-04-12 06:36:47,Bank Stocks To Research – April 9th,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Bank Stocks To Research – April 9th Bank Stocks To Research – April 9th,True,True,94.07
Navan (NASDAQ:NAVN) versus Fatpipe Inc/UT (NASDAQ:FATN) Financial Survey,Defenseworld Net,2026-04-12 06:33:00,Navan (NASDAQ:NAVN) versus Fatpipe Inc/UT (NASDAQ:FATN) Financial Survey,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Navan (NASDAQ:NAVN) versus Fatpipe Inc/UT (NASDAQ:FATN) Financial Survey Navan (NASDAQ:NAVN) versus Fatpipe Inc/UT (NASDAQ:FATN) Financial Survey,True,True,93.93
"Petrol And Diesel Prices On April 12: Check Rates In Delhi, Mumbai, Bengaluru & Other Cities",Abp News,2026-04-12 06:32:34,"Petrol And Diesel Prices On April 12: Check Rates In Delhi, Mumbai, Bengaluru & Other Cities",Negative,,Low,,Hold Cash | Defensive Stocks,live-feed,"Petrol And Diesel Prices On April 12: Check Rates In Delhi, Mumbai, Bengaluru & Other Cities Petrol And Diesel Prices On April 12: Check Rates In Delhi, Mumbai, Bengaluru & Other Cities",True,True,90.52
"MCWD cuts diesel use, no new rate hike for now",Cebu Daily News,2026-04-12 06:32:09,"MCWD cuts diesel use, no new rate hike for now",Neutral,,Low,,Market Neutral | Hold Positions,live-feed,"MCWD cuts diesel use, no new rate hike for now MCWD cuts diesel use, no new rate hike for now",True,True,94.07
Here’s the REIT I’m buying for huge and sustainable passive income,Fool Uk,2026-04-12 06:32:00,Here’s the REIT I’m buying for huge and sustainable passive income,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,Here’s the REIT I’m buying for huge and sustainable passive income Here’s the REIT I’m buying for huge and sustainable passive income,True,True,91.5
Here’s the REIT I’m buying for huge and sustainable passive income,Yahoo! News,2026-04-12 06:32:00,Here’s the REIT I’m buying for huge and sustainable passive income,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,Here’s the REIT I’m buying for huge and sustainable passive income Here’s the REIT I’m buying for huge and sustainable passive income,True,True,92.24
DeFi Trends 2026: Top 5 TVL Categories Explained,Analytics And Insight,2026-04-12 06:30:00,DeFi Trends 2026: Top 5 TVL Categories Explained,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,DeFi Trends 2026: Top 5 TVL Categories Explained DeFi Trends 2026: Top 5 TVL Categories Explained,True,True,91.91
"World Bank releases $340 mn for Amaravati, $150 mn more likely in April",Business Standard,2026-04-12 06:29:02,"World Bank releases $340 mn for Amaravati, $150 mn more likely in April",Positive,,Low,,"Buy Equities, Banking, IT",live-feed,"World Bank releases $340 mn for Amaravati, $150 mn more likely in April World Bank releases $340 mn for Amaravati, $150 mn more likely in April",True,True,92.0
Alphabet Stock 2026: Buy or Sell GOOGL as AI Momentum and $180B CapEx Bet Collide Ahead of Q1 Earnings,International Business Times,2026-04-12 06:28:05,Alphabet Stock 2026: Buy or Sell GOOGL as AI Momentum and $180B CapEx Bet Collide Ahead of Q1 Earnings,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Alphabet Stock 2026: Buy or Sell GOOGL as AI Momentum and $180B CapEx Bet Collide Ahead of Q1 Earnings Alphabet Stock 2026: Buy or Sell GOOGL as AI Momentum and $180B CapEx Bet Collide Ahead of Q1 Earnings,True,True,94.13
DWP state pensioners under the age of 75 sent out letters with £48 boost,Yorkshirelive,2026-04-12 06:44:58,DWP state pensioners under the age of 75 sent out letters with £48 boost,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,DWP state pensioners under the age of 75 sent out letters with £48 boost DWP state pensioners under the age of 75 sent out letters with £48 boost,True,True,94.27
"World Bank releases $340 mn for Amaravati development, additional $150 mn likely in April",The Economic Times,2026-04-12 06:42:00,"World Bank releases $340 mn for Amaravati development, additional $150 mn likely in April",Neutral,,Low,,Market Neutral | Hold Positions,live-feed,"World Bank releases $340 mn for Amaravati development, additional $150 mn likely in April World Bank releases $340 mn for Amaravati development, additional $150 mn likely in April",True,True,93.95
Sezzle (NASDAQ:SEZL) Shares Down 12.7% – Time to Sell?,Defenseworld Net,2026-04-12 06:40:58,Sezzle (NASDAQ:SEZL) Shares Down 12.7% – Time to Sell?,Negative,,Low,,Hold Cash | Defensive Stocks,live-feed,Sezzle (NASDAQ:SEZL) Shares Down 12.7% – Time to Sell? Sezzle (NASDAQ:SEZL) Shares Down 12.7% – Time to Sell?,True,True,91.41
"BOJ policy to boost yen could be an option to curb inflation, minister says",The Japan Times,2026-04-12 06:48:00,"BOJ policy to boost yen could be an option to curb inflation, minister says",Neutral,,Low,,Market Neutral | Hold Positions,live-feed,"BOJ policy to boost yen could be an option to curb inflation, minister says BOJ policy to boost yen could be an option to curb inflation, minister says",True,True,93.94
Erie Indemnity Has Spent a Century Collecting a Fee. The Market Still Prices It Like an Insurer.,Investing Canada,2026-04-12 06:52:00,Erie Indemnity Has Spent a Century Collecting a Fee. The Market Still Prices It Like an Insurer.,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Erie Indemnity Has Spent a Century Collecting a Fee. The Market Still Prices It Like an Insurer. Erie Indemnity Has Spent a Century Collecting a Fee. The Market Still Prices It Like an Insurer.,True,True,94.16
Head-To-Head Analysis: Titan America (NYSE:TTAM) & Aspen Aerogels (NYSE:ASPN),Defenseworld Net,2026-04-12 06:50:52,Head-To-Head Analysis: Titan America (NYSE:TTAM) & Aspen Aerogels (NYSE:ASPN),Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Head-To-Head Analysis: Titan America (NYSE:TTAM) & Aspen Aerogels (NYSE:ASPN) Head-To-Head Analysis: Titan America (NYSE:TTAM) & Aspen Aerogels (NYSE:ASPN),True,True,93.92
Ecommerce Stocks To Add to Your Watchlist – April 9th,Americanbankingnews,2026-04-12 07:03:13,Ecommerce Stocks To Add to Your Watchlist – April 9th,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Ecommerce Stocks To Add to Your Watchlist – April 9th Ecommerce Stocks To Add to Your Watchlist – April 9th,True,True,94.08
Leading microfinance banks in Nigeria: Where to get loans for your business,Legit Nigeria,2026-04-12 07:02:04,Leading microfinance banks in Nigeria: Where to get loans for your business,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Leading microfinance banks in Nigeria: Where to get loans for your business Leading microfinance banks in Nigeria: Where to get loans for your business,True,True,94.01
"Affordable Housing Despite Cost Pressures Achievable, But... – Osidi, CEO Federal Mortgage Bank Of Nigeria",Leadership,2026-04-12 07:01:58,"Affordable Housing Despite Cost Pressures Achievable, But... – Osidi, CEO Federal Mortgage Bank Of Nigeria",Neutral,,Low,,Market Neutral | Hold Positions,live-feed,"Affordable Housing Despite Cost Pressures Achievable, But... – Osidi, CEO Federal Mortgage Bank Of Nigeria Affordable Housing Despite Cost Pressures Achievable, But... – Osidi, CEO Federal Mortgage Bank Of Nigeria",True,True,93.99
"Iran War, Oil Surge... But Gold Prices Drop: Why?",Times Now News,2026-04-12 07:01:57,"Iran War, Oil Surge... But Gold Prices Drop: Why?",Neutral,,High,,Buy Gold & Defence Stocks | Avoid Equities,live-feed,"Iran War, Oil Surge... But Gold Prices Drop: Why? Iran War, Oil Surge... But Gold Prices Drop: Why?",True,True,94.23
World Bank Releases USD 340 mn for Amaravati Development,Andhrabhoomi,2026-04-12 07:01:45,World Bank Releases USD 340 mn for Amaravati Development,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,World Bank Releases USD 340 mn for Amaravati Development World Bank Releases USD 340 mn for Amaravati Development,True,True,94.03
"World Bank Releases USD 340 mn for Amaravati Development, Additional USD 150 mn Likely in April",Deccan Chronicle,2026-04-12 07:01:45,"World Bank Releases USD 340 mn for Amaravati Development, Additional USD 150 mn Likely in April",Neutral,,Low,,Market Neutral | Hold Positions,live-feed,"World Bank Releases USD 340 mn for Amaravati Development, Additional USD 150 mn Likely in April World Bank Releases USD 340 mn for Amaravati Development, Additional USD 150 mn Likely in April",True,True,93.99
"Gold and Silver Rate Today (12 April 2026): Gold Prices Rise After Sharp Fall, 24K Hits Rs 1,52,890 Amid Global Recovery; Check Gold Price In Chennai, Hyderabad...",Newsx,2026-04-12 07:01:27,"Gold and Silver Rate Today (12 April 2026): Gold Prices Rise After Sharp Fall, 24K Hits Rs 1,52,890 Amid Global Recovery; Check Gold Price In Chennai, Hyderabad, Delhi, Mumbai and Dubai",Neutral,,Low,,Market Neutral | Hold Positions,live-feed,"Gold and Silver Rate Today (12 April 2026): Gold Prices Rise After Sharp Fall, 24K Hits Rs 1,52,890 Amid Global Recovery; Check Gold Price In Chennai, Hyderabad... Gold and Silver Rate Today (12 April 2026): Gold Prices Rise After Sharp Fall, 24K Hits Rs 1,52,890 Amid Global Recovery; Check Gold Price In Chennai, Hyderabad, Delhi, Mumbai and Dubai",True,True,93.43
"No savings at 40? Here’s how to target a £2,320 monthly passive income in retirement",Fool Uk,2026-04-12 07:01:00,"No savings at 40? Here’s how to target a £2,320 monthly passive income in retirement",Neutral,,Low,,Market Neutral | Hold Positions,live-feed,"No savings at 40? Here’s how to target a £2,320 monthly passive income in retirement No savings at 40? Here’s how to target a £2,320 monthly passive income in retirement",True,True,93.98
Gas prices April 12,Mohavedailynews,2026-04-12 07:00:00,Gas prices April 12,Neutral,,Low,,Market Neutral | Hold Positions,live-feed,Gas prices April 12 Gas prices April 12,True,True,93.67
How to invest in healthcare's powerful growth,Moneyweek,2026-04-12 07:00:00,How to invest in healthcare's powerful growth,Positive,,Low,,"Buy Equities, Banking, IT",live-feed,How to invest in healthcare's powerful growth How to invest in healthcare's powerful growth,True,True,92.1
