title,source,published,content,sentiment,geo_risk_score,geo_risk_level,energy_risk,investment_recommendation,dataset_type
"What to know about Trump's tax breaks for tips, overtime when filing state tax returns",Kutv,2026-04-12 15:34:11,"What to know about Trump's tax breaks for tips, overtime when filing state tax returns",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Food prices outpace official rates across metropolis,The Express Tribune,2026-04-12 15:31:19,Food prices outpace official rates across metropolis,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Popular Thai restaurant up for £125K sale as owner to retire,Oxford Mail,2026-04-12 15:30:00,Popular Thai restaurant up for £125K sale as owner to retire,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Popular Thai restaurant up for £125K sale as owner to retire,The Bicester Advertiser,2026-04-12 15:30:00,Popular Thai restaurant up for £125K sale as owner to retire,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Nvidia leads AI infrastructure buildout as hyperscalers commit $660bn to data centers in 2026,Complete Ai Training,2026-04-12 15:29:41,Nvidia leads AI infrastructure buildout as hyperscalers commit $660bn to data centers in 2026,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Women’s movement has been ‘systematically’ destroyed, says Pidcock",Morning Star,2026-04-12 15:28:33,"Women’s movement has been ‘systematically’ destroyed, says Pidcock",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Treasury bill yields rise as govt ramps up bank borrowing,The Business Standard,2026-04-12 15:45:00,Treasury bill yields rise as govt ramps up bank borrowing,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Smart Investors Recognize Stock Screener Breakout Patterns Signaling Historic Market Opportunity,Equity Insider,2026-04-12 15:43:11,Smart Investors Recognize Stock Screener Breakout Patterns Signaling Historic Market Opportunity,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Consumer expert names 'best' Cash ISA as last year opens for current tax-free limit,Chroniclelive Co Uk,2026-04-12 15:49:35,Consumer expert names 'best' Cash ISA as last year opens for current tax-free limit,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
‘There is no rule of law’: High Court justices rail at failure to enlist Haredim,The Times Of Israel,2026-04-12 15:48:41,‘There is no rule of law’: High Court justices rail at failure to enlist Haredim,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"SLNO SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds Soleno Therapeutics (SLNO) Investors of Securities Class Action Deadline on May 5, 2026",Pr Newswire,2026-04-12 15:54:00,"SLNO SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds Soleno Therapeutics (SLNO) Investors of Securities Class Action Deadline on May 5, 2026",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Raise coming to municipal election officials in Lake Country,Kelowna Capital News,2026-04-12 15:53:00,Raise coming to municipal election officials in Lake Country,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Child care crisis forces Washington county to try an unusual solution,Yakima Herald-republic,2026-04-12 16:00:00,Child care crisis forces Washington county to try an unusual solution,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Mortgage repayments reach new high: ministry,Taipeitimes,2026-04-12 16:00:00,Mortgage repayments reach new high: ministry,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"BOJ policy to boost yen could be an option to curb inflation, Japanese minister says",Taipeitimes,2026-04-12 16:00:00,"BOJ policy to boost yen could be an option to curb inflation, Japanese minister says",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Guermantes Lailari On Taiwan: The deadly myth of kinship: Why Taiwan must reform to survive,Taipeitimes,2026-04-12 16:00:00,Guermantes Lailari On Taiwan: The deadly myth of kinship: Why Taiwan must reform to survive,Negative,,Low,,Hold Cash | Defensive Stocks,live-feed
Trump’s one Big Beautiful Bill Act darkens outlook for Lincoln clinic,Lincoln Journal Star,2026-04-12 16:00:00,Trump’s one Big Beautiful Bill Act darkens outlook for Lincoln clinic,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Politicians face aftermath of storm and potential price spikes from fuel crisis,The Post,2026-04-12 16:00:00,Politicians face aftermath of storm and potential price spikes from fuel crisis,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
To excise the excise tax or not?,Philstar.com,2026-04-12 16:00:00,To excise the excise tax or not?,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"2 Stocks to Buy and 2 to Sell, According to Insiders",Investorplace,2026-04-12 16:00:00,"2 Stocks to Buy and 2 to Sell, According to Insiders",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"‘Higher coal use raises risks, costs for Philippines, Asean peers’",Philstar.com,2026-04-12 16:00:00,"‘Higher coal use raises risks, costs for Philippines, Asean peers’",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"Despite turbulent March, PAL keeps flights punctual",Philstar.com,2026-04-12 16:00:00,"Despite turbulent March, PAL keeps flights punctual",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Galunggong landed at Navotas port nearly doubles as harvest peak starts,Businessworld Online,2026-04-12 16:03:55,Galunggong landed at Navotas port nearly doubles as harvest peak starts,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Reviving Hidden Alternative Cancer Cures,Activist Post,2026-04-12 16:03:39,Reviving Hidden Alternative Cancer Cures,Negative,,Low,,Hold Cash | Defensive Stocks,live-feed
Middle East conflict may erode Philippine banks’ asset quality — Fitch Ratings,Businessworld Online,2026-04-12 16:03:22,Middle East conflict may erode Philippine banks’ asset quality — Fitch Ratings,Neutral,,Medium,,Hold Gold | Avoid High-Risk Equities,live-feed
Child care crisis forces Washington state county to try an unusual solution,Chronline,2026-04-12 16:03:01,Child care crisis forces Washington state county to try an unusual solution,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
JPMorgan’s Dimon warns of brewing market storm,Yahoo! News,2026-04-12 16:03:00,JPMorgan’s Dimon warns of brewing market storm,Neutral,,High,,Buy Gold & Defence Stocks | Avoid Equities,live-feed
BSP bills fetch lower yields as demand surges,Businessworld Online,2026-04-12 16:02:22,BSP bills fetch lower yields as demand surges,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Pooled procurement to secure the country’s medicine supply,Businessworld Online,2026-04-12 16:01:51,Pooled procurement to secure the country’s medicine supply,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Yields on gov’t debt end lower as US-Iran ceasefire lifts sentiment,Businessworld Online,2026-04-12 16:01:21,Yields on gov’t debt end lower as US-Iran ceasefire lifts sentiment,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Chiniot's safe city project nears completion under CM Punjab's vision,Urdupoint,2026-04-12 16:00:12,Chiniot's safe city project nears completion under CM Punjab's vision,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Map Shows Where US Businesses Close the Fastest,Newsweek,2026-04-12 16:09:18,Map Shows Where US Businesses Close the Fastest,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"TNVS firms asked to cut commissions, help drivers",The Manila Times,2026-04-12 16:05:42,"TNVS firms asked to cut commissions, help drivers",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
April 2026 update to TIGER: A year of economic healing turns into a year of peril,Brookings,2026-04-12 16:05:32,April 2026 update to TIGER: A year of economic healing turns into a year of peril,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
BSP wants banks to offer more green housing loans,The Manila Times,2026-04-12 16:05:30,BSP wants banks to offer more green housing loans,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"T-bill, bond rates may drop as markets monitor US-Iran talks",Businessworld Online,2026-04-12 16:05:23,"T-bill, bond rates may drop as markets monitor US-Iran talks",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Consumer sentiment hits record low, inflation fears rise amid Iran war",Freerepublic,2026-04-12 16:15:43,"Consumer sentiment hits record low, inflation fears rise amid Iran war",Neutral,,High,,Buy Gold & Defence Stocks | Avoid Equities,live-feed
Peru's High-Stakes Election: A Struggle for Stability Amid Political Chaos,Devdiscourse,2026-04-12 16:13:12,Peru's High-Stakes Election: A Struggle for Stability Amid Political Chaos,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Illinois jobless rates up from a year ago,Beloit Daily News,2026-04-12 16:13:00,Illinois jobless rates up from a year ago,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Grab your passport to a world of books before Independent Bookstore Day,Buffalonews,2026-04-12 16:20:00,Grab your passport to a world of books before Independent Bookstore Day,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Dalal Street Week Ahead: US-Iran ceasefire uncertainty, oil prices, Q4 earnings, China GDP, US PPI among 10 key factors to watch",Moneycontrol,2026-04-12 16:19:40,"Dalal Street Week Ahead: US-Iran ceasefire uncertainty, oil prices, Q4 earnings, China GDP, US PPI among 10 key factors to watch",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Cameroon palm oil exports rise 17% in 2025 despite supply shortfall,Business In Cameroon,2026-04-12 16:17:13,Cameroon palm oil exports rise 17% in 2025 despite supply shortfall,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"DLSU ECONOMIC STUDY FORECASTS, IF MIDEAST CONFLICT DRAGS ON",Malaya Business Insight,2026-04-12 16:35:00,"DLSU ECONOMIC STUDY FORECASTS, IF MIDEAST CONFLICT DRAGS ON",Positive,,Medium,,Selective Equity Buy | Hold Gold,live-feed
IMF-World Bank meetings to kick off with the global economy under strain,Businessworld Online,2026-04-12 16:33:55,IMF-World Bank meetings to kick off with the global economy under strain,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Today’s Gold Price (March 12): Check the new rates of 18, 22, and 24 carat gold before buying.",Wcknc.org,2026-04-12 16:33:54,"Today’s Gold Price (March 12): Check the new rates of 18, 22, and 24 carat gold before buying.",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
NG gross borrowings jump over 40% in Feb.,Businessworld Online,2026-04-12 16:32:54,NG gross borrowings jump over 40% in Feb.,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Marcos to decide on fuel excise tax cut or suspension by April 13,Inquirer,2026-04-12 16:31:51,Marcos to decide on fuel excise tax cut or suspension by April 13,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
South Taranaki District Council defends $49K spend on chairs for new library,The Post,2026-04-12 16:30:00,South Taranaki District Council defends $49K spend on chairs for new library,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
'A gut punch': Halton councillor speaks out on provincial plan to roll back green building standards,Oakville News,2026-04-12 16:30:00,'A gut punch': Halton councillor speaks out on provincial plan to roll back green building standards,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Lessons learned in 1970s have made U.S. and global economies less vulnerable to oil shocks,Columbian,2026-04-12 16:47:41,Lessons learned in 1970s have made U.S. and global economies less vulnerable to oil shocks,Negative,,Low,,Hold Cash | Defensive Stocks,live-feed
T-bills: Government records 29% undersubscription; interest rates continue to surge,Myjoyonline,2026-04-12 16:46:11,T-bills: Government records 29% undersubscription; interest rates continue to surge,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Millionaire-Maker or Market Hype? The Honest Truth About Oklo,Fool,2026-04-12 16:45:00,Millionaire-Maker or Market Hype? The Honest Truth About Oklo,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Wool collection centre in Rajouri to improve vacuum bag handling for Bakerwal sheep breeders,Goodreturns,2026-04-12 16:42:02,Wool collection centre in Rajouri to improve vacuum bag handling for Bakerwal sheep breeders,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
More Than Just Iran,Zerohedge,2026-04-12 16:50:00,More Than Just Iran,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Ash to action: How satellite tech is saving Karnataka’s forests,newsdata.io,2026-04-12 17:25:00,Ash to action: How satellite tech is saving Karnataka’s forests,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Key Market Events for the Week of April 13–17, 2026",newsdata.io,2026-04-12 17:16:32,"Key Market Events for the Week of April 13–17, 2026",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Unemployment rates rise in local counties,newsdata.io,2026-04-12 17:15:00,Unemployment rates rise in local counties,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
No room for illusory budgeting amid fiscal strain,newsdata.io,2026-04-12 17:12:18,No room for illusory budgeting amid fiscal strain,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Peruvians vote in a tight presidential race as a runoff appears inevitable,newsdata.io,2026-04-12 17:10:00,Peruvians vote in a tight presidential race as a runoff appears inevitable,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Can anything be done about rampant credit card debt? | READER COMMENTARY,newsdata.io,2026-04-12 17:09:39,Can anything be done about rampant credit card debt? | READER COMMENTARY,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Maharashtra Contractors Unanimously Withdraw Strike After PWD Minister Assures ₹9,000 Crore Extra Funds And Project Extensions",newsdata.io,2026-04-12 17:08:13,"Maharashtra Contractors Unanimously Withdraw Strike After PWD Minister Assures ₹9,000 Crore Extra Funds And Project Extensions",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Top Financial Stocks To Add to Your Watchlist – April 12th,newsdata.io,2026-04-12 17:06:44,Top Financial Stocks To Add to Your Watchlist – April 12th,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Promising Bank Stocks To Follow Today – April 12th,newsdata.io,2026-04-12 17:06:43,Promising Bank Stocks To Follow Today – April 12th,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
DWP confirms automatic £200-£300 for state pensioners born before 1960,newsdata.io,2026-04-12 17:06:17,DWP confirms automatic £200-£300 for state pensioners born before 1960,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
AtaiBeckley (ATAI) Reports Phase 2a Data in CNS Drugs,Insider Trading,2026-04-12 21:46:12,AtaiBeckley (ATAI) Reports Phase 2a Data in CNS Drugs,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
A major U.S. gasoline production hub is in such a severe drought that its refineries may be hobbled. ‘We are actively praying for a hurricane’,Fortune,2026-04-12 21:44:58,A major U.S. gasoline production hub is in such a severe drought that its refineries may be hobbled. ‘We are actively praying for a hurricane’,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Tax Refunds Surge, Trump Administration Credits Tax Cuts",Headtopics,2026-04-12 21:36:13,"Tax Refunds Surge, Trump Administration Credits Tax Cuts",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Bhopal Municipal Corporation Halts In-House Fuel Supply Amid Price Volatility,The Free Press Journal,2026-04-12 21:30:00,Bhopal Municipal Corporation Halts In-House Fuel Supply Amid Price Volatility,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Boycott newsroom liars and restore Australia’s absent self-assurance,Independent Australia,2026-04-12 21:30:00,Boycott newsroom liars and restore Australia’s absent self-assurance,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
The Great Rotation: Buy This Sector Before It Comes Back in Style,Yahoo! News,2026-04-12 21:25:00,The Great Rotation: Buy This Sector Before It Comes Back in Style,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"Inflation rises in US amid Hormuz blockade, consumer sentiment plunges",Qatar Tribune,2026-04-12 21:25:00,"Inflation rises in US amid Hormuz blockade, consumer sentiment plunges",Neutral,,High,,Buy Gold & Defence Stocks | Avoid Equities,live-feed
8 everyday items getting more expensive amid the Iran war,The Mirror Us,2026-04-12 21:22:52,8 everyday items getting more expensive amid the Iran war,Neutral,,High,,Buy Gold & Defence Stocks | Avoid Equities,live-feed
Donald Trump Threatens China With 50% Tariff if It Supplies Weapons To Iran Amid Escalating Global Trade And Middle East Conflict,Newsx,2026-04-12 21:21:15,Donald Trump Threatens China With 50% Tariff if It Supplies Weapons To Iran Amid Escalating Global Trade And Middle East Conflict,Neutral,,Medium,,Hold Gold | Avoid High-Risk Equities,live-feed
The Bank of New York Mellon Corporation (BK): Mario Gabelli Admires This Banking Stock,Insider Trading,2026-04-12 21:19:03,The Bank of New York Mellon Corporation (BK): Mario Gabelli Admires This Banking Stock,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Dollar jumps as failed US-Iran peace talks spark fresh safe-haven push,The Business Times,2026-04-12 21:50:03,Dollar jumps as failed US-Iran peace talks spark fresh safe-haven push,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Steal This Powerhouse Lenovo Legion Tower 5i Gaming PC for $700 off,The Inventory,2026-04-14 19:13:11,Steal This Powerhouse Lenovo Legion Tower 5i Gaming PC for $700 off,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
The Best Personal Finance and Budgeting Apps for 2026,Pcmag,2026-04-14 19:12:44,The Best Personal Finance and Budgeting Apps for 2026,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"What is a Colocation Data Center? Types, Benefits, & Choosing the Right Facility – Bloom Energy",Plato Data Intelligence,2026-04-14 19:12:36,"What is a Colocation Data Center? Types, Benefits, & Choosing the Right Facility – Bloom Energy",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Canadian Nationalist Party founder Travis Patron faces hate speech charge,The Hamilton Spectator,2026-04-14 19:11:47,Canadian Nationalist Party founder Travis Patron faces hate speech charge,Negative,,Low,,Hold Cash | Defensive Stocks,live-feed
Septic Services Of LA Is The Topmost Septic Tank Pumping Service Provider Los Angeles,Menafn,2026-04-14 19:11:41,Septic Services Of LA Is The Topmost Septic Tank Pumping Service Provider Los Angeles,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Choosing Between Merchant Accounts And Payment Aggregators: A Guide For Growth,Menafn,2026-04-14 19:11:39,Choosing Between Merchant Accounts And Payment Aggregators: A Guide For Growth,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
New Study By San Diego Family Law Firm Reveals Gray Divorce Rose 5% Over The Past Decade As Younger Splits Declined,Menafn,2026-04-14 19:11:13,New Study By San Diego Family Law Firm Reveals Gray Divorce Rose 5% Over The Past Decade As Younger Splits Declined,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
714 Texas Cities Direct Local Sales Tax To Economic Development,Menafn,2026-04-14 19:11:08,714 Texas Cities Direct Local Sales Tax To Economic Development,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Wells Fargo (WFC) Q1 2026 Earnings Call Transcript,Fool,2026-04-14 19:10:34,Wells Fargo (WFC) Q1 2026 Earnings Call Transcript,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Singapore Energy Shock: How Imported Inflation Drives MAS Policy Decisions – UOB Analysis,Home - Bitcoinworld.co.in,2026-04-14 19:10:12,Singapore Energy Shock: How Imported Inflation Drives MAS Policy Decisions – UOB Analysis,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Clinton board adopts 2026-27 budget; approves tax, water rate increases",Romesentinel,2026-04-14 19:15:00,"Clinton board adopts 2026-27 budget; approves tax, water rate increases",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Common Chord to move Redstone Room to former restaurant The Garrison,The Quad City Times,2026-04-14 19:15:00,Common Chord to move Redstone Room to former restaurant The Garrison,Negative,,Low,,Hold Cash | Defensive Stocks,live-feed
Common Chord to move Redstone Room to former restaurant The Garrison,Dispatch Argus,2026-04-14 19:15:00,Common Chord to move Redstone Room to former restaurant The Garrison,Negative,,Low,,Hold Cash | Defensive Stocks,live-feed
"Pain at the Pump as Diesel increases by Ksh 40.30, Petrol by Ksh 28.69 in New EPRA Review",Business Today Kenya,2026-04-14 19:14:38,"Pain at the Pump as Diesel increases by Ksh 40.30, Petrol by Ksh 28.69 in New EPRA Review",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"Day after protest, UP hikes minimum wages in Noida, Ghaziabad by 21%",The Times Of India,2026-04-14 19:14:34,"Day after protest, UP hikes minimum wages in Noida, Ghaziabad by 21%",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Gradient Investments Dumps $15 Million Worth of UYLD -- What Investors Should Know,Fool,2026-04-14 19:15:57,Gradient Investments Dumps $15 Million Worth of UYLD -- What Investors Should Know,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Montco Officials Call For Investigation Into PECO Over Rate Hike Proposal,Patch,2026-04-14 19:15:54,Montco Officials Call For Investigation Into PECO Over Rate Hike Proposal,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"BP, D.A. take concerns over police staffing to NYPD commissioner",Staten Island Ny Local News,2026-04-14 19:15:38,"BP, D.A. take concerns over police staffing to NYPD commissioner",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Bitcoin Price Plummets: BTC Falls Below $74,000 Amid Market Volatility",Home - Bitcoinworld.co.in,2026-04-14 19:15:11,"Bitcoin Price Plummets: BTC Falls Below $74,000 Amid Market Volatility",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
National Roundtable Advances Women’s Health and Chronic Pain Research in Canada,Globenewswire_fr,2026-04-14 19:17:00,National Roundtable Advances Women’s Health and Chronic Pain Research in Canada,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
White House journalist recalls stories from her four books at Town Hall Lecture Series,North Platte Telegraph,2026-04-14 19:18:00,White House journalist recalls stories from her four books at Town Hall Lecture Series,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Global turmoil helps bank traders set records while pressuring other businesses,Moneycontrol,2026-04-14 19:17:39,Global turmoil helps bank traders set records while pressuring other businesses,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Canada's cheapest provinces with the best quality of life were ranked — Here's how Quebec did,Mtl Blog,2026-04-14 19:18:22,Canada's cheapest provinces with the best quality of life were ranked — Here's how Quebec did,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Ontario government moves to prevent workers from having to pay for uniforms,Cbc,2026-04-14 19:18:14,Ontario government moves to prevent workers from having to pay for uniforms,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Pension annuity buyers breaking even seven years sooner as rates surge to 17-year high,Gb News,2026-04-14 19:19:27,Pension annuity buyers breaking even seven years sooner as rates surge to 17-year high,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Monthly Payments On New Cars Have Reached All-Time High—How To Find The Best Auto Loan Rates Before You Buy,Forbes,2026-04-14 19:19:01,Monthly Payments On New Cars Have Reached All-Time High—How To Find The Best Auto Loan Rates Before You Buy,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Top 5 SMM Panels in India 2026 (Reviewed & Compared) – Why Smmwiz Leads,Techbullion,2026-04-14 19:21:43,Top 5 SMM Panels in India 2026 (Reviewed & Compared) – Why Smmwiz Leads,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Lowest Mortgage Rates in 4 Weeks,Mortgagenewsdaily,2026-04-14 19:23:00,Lowest Mortgage Rates in 4 Weeks,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Vanguard S&P 500 ETF (NYSEARCA:VOO) Sees Significant Decrease in Short Interest,Ticker Report,2026-04-14 19:22:43,Vanguard S&P 500 ETF (NYSEARCA:VOO) Sees Significant Decrease in Short Interest,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Vanguard S&P 500 ETF (NYSEARCA:VOO) Sees Significant Decrease in Short Interest,Daily Political,2026-04-14 19:22:42,Vanguard S&P 500 ETF (NYSEARCA:VOO) Sees Significant Decrease in Short Interest,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
One of Silicon Valley’s Hottest Companies Is Facing a Revolt—From Its Own Fans,Slate,2026-04-14 19:22:12,One of Silicon Valley’s Hottest Companies Is Facing a Revolt—From Its Own Fans,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Wisconsin Republicans leave door open to Gov. Evers’ call to end gerrymandering,Chippewa Herald,2026-04-14 19:27:00,Wisconsin Republicans leave door open to Gov. Evers’ call to end gerrymandering,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Wisconsin Republicans leave door open to Gov. Evers’ call to end gerrymandering,Kenosha News,2026-04-14 19:27:00,Wisconsin Republicans leave door open to Gov. Evers’ call to end gerrymandering,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Trump’s Fed pick Kevin Warsh discloses vast wealth before confirmation hearing,Straitstimes,2026-04-14 19:27:52,Trump’s Fed pick Kevin Warsh discloses vast wealth before confirmation hearing,Neutral,,High,,Buy Gold & Defence Stocks | Avoid Equities,live-feed
"Game of cards: Top banking players opt for tight gambit, rivals up the ante",The Economic Times,2026-04-14 19:27:26,"Game of cards: Top banking players opt for tight gambit, rivals up the ante",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
11 races that could determine control of the Senate,Digitpatrox,2026-04-14 19:27:20,11 races that could determine control of the Senate,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Trump promised tax relief, but polling shows most Americans still think they're overpaying",North Platte Telegraph,2026-04-14 19:30:00,"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Auburnpub,2026-04-14 19:30:00,"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"Up 67% in a year! The red-hot South32 share price is smashing BHP, Rio and Fortescue",Fool Australia,2026-04-14 19:30:00,"Up 67% in a year! The red-hot South32 share price is smashing BHP, Rio and Fortescue",Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Sioux City Journal News,2026-04-14 19:30:00,"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Starexponent,2026-04-14 19:30:00,"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Columbus Telegram,2026-04-14 19:30:00,"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"Trump promised tax relief, but polling shows most Americans still think they're overpaying",The Montana Standard,2026-04-14 19:30:00,"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Star Herald,2026-04-14 19:30:00,"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Lincoln Journal Star,2026-04-14 19:30:00,"Trump promised tax relief, but polling shows most Americans still think they're overpaying",Positive,,Low,,"Buy Equities, Banking, IT",live-feed
Why your morning cup of coffee now comes with a 'fuel surcharge' levy,The Canberra Times,2026-04-14 19:30:00,Why your morning cup of coffee now comes with a 'fuel surcharge' levy,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Opinion: China's energy diversity offers a lesson and an opportunity for Canada,Edmonton Journal,2026-04-14 19:30:39,Opinion: China's energy diversity offers a lesson and an opportunity for Canada,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Malaysia rolls out low-interest financing package for SMEs,Vietnam+,2026-04-14 19:30:20,Malaysia rolls out low-interest financing package for SMEs,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
"Madbouly, Rosatom chief review progress on El Dabaa nuclear project",Daily News Egypt,2026-04-14 19:30:15,"Madbouly, Rosatom chief review progress on El Dabaa nuclear project",Neutral,,High,,Buy Gold & Defence Stocks | Avoid Equities,live-feed
OJP Spotlight: Rep. Ken Helm,The New Era,2026-04-14 19:32:34,OJP Spotlight: Rep. Ken Helm,Neutral,,Low,,Market Neutral | Hold Positions,live-feed
Lagos targets economic growth with new industrial plan,Punch,2026-04-14 19:32:24,Lagos targets economic growth with new industrial plan,Positive,,Low,,"Buy Equities, Banking, IT",live-feed
